Name	Nickname	ID
Oldncranky	Cranky	253974015801032704
Ohmywordcad	Kristinleah	418217035361943563
Covril	Blood	298329767654981632
Thegunshow	Thegunshow	1450867661104873502
Gabreal	Gabreal	230530346830135296
Cymon	Gabreal	230530346830135296
Furbag	Cranky	253974015801032704
Nights	Iceshards	427616367756312577
Dùet	Duet	1060539482484523018
Jessejames	Poppa	696537683958300722
Butchcassidy	Poppa	696537683958300722
Smashbandit	Poppa	696537683958300722
Stashbandit	Poppa	696537683958300722
Poppawolf	Poppa	696537683958300722
Bubblepoppa	Poppa	696537683958300722
Docbandit	Poppa	696537683958300722
Rustypoppa	Poppa	696537683958300722
Soulpoppa	Poppa	696537683958300722
Teletort	Teletort	377984622757150721
Fathernick	Hctanked	359721048075403267
Hcfrostbloom	Hctanked	359721048075403267
Hctanked	Hctanked	359721048075403267
Hcessence	Hctanked	359721048075403267
Mizfortune	Mizfortune	917553408939020339
Cjtheman	Cjmann	926266914836201503
Ceramon	Mizfortune	917553408939020339
Somehobo	Sumhobo	282291579484504074
Diggusbickus	Bonker	143864065561722880
Cad	Bonker	143864065561722880
Osoro	Osoro	361231385303711744
Lizzie	Lizzie	268489391192801281
Lizzié	Lizzie	268489391192801281
Lizzië	Lizzie	268489391192801281
Lizzielock	Lizzie	268489391192801281
Tiá	Lizzie	268489391192801281
Nightology	Nightology	176147592441233408
Henrin	Henrin	225835807431196673
Dalibor	Dalibor	476504640255426571
Miabeth	Miabet	283394204502196226
Bukkekka	Miabet	283394204502196226
Darklightgg	Jidden	547681863033028609
Darklightjid	Jidden	547681863033028609
Darklightwj	Jidden	547681863033028609
Darklightwis	Jidden	547681863033028609
Darklightjc	Jidden	547681863033028609
Darklightnik	Jidden	547681863033028609
Shikamarue	Donny	1056698285697540097
Maxxine	Donny	1056698285697540097
Plaster	Emy	244542837830582272
Bunbun	Bunney	486063299839000576
Bunnyowned	Bunney	486063299839000576
Zerabae	Zerabae	280847475936329729
Frimagics	Frimagics	281722719178063872
Fairytale	Fairytale	776902847328419840
Fatherdungo	Fatherdungo	274244567916871680
Portant	Portant	1470802780942893300
Alibaba	Tude	332349061451743234
Fizi	Tude	332349061451743234
Ubster	Tude	332349061451743234
Stepmom	Tude	332349061451743234
Naughttoday	Mizfortune	917553408939020339
Denle	Aithiel	287187153610604544
Dragginnut	Trpplqtrpndr	429822369163640833
Trpplqtrpndr	Trpplqtrpndr	429822369163640833
Beneleven	Trpplqtrpndr	429822369163640833
Bajablastois	Trpplqtrpndr	429822369163640833
Émy	Emy	244542837830582272
Desiriah	Aithiel	287187153610604544
Amsalmon	Amsalmon	338871371335467019
Zeana	Hysla	176437778794545152
Hysla	Hysla	176437778794545152
Zenös	Cryofrost	169406736560685057
Hammerforth	Hammerforth	235201295357575168
Kelva	Nourish	230885571386408969
Nourish	Nourish	230885571386408969
Iceshards	Iceshards	427616367756312577
Hitchhike	Tude	332349061451743234
Burgerstand	Tude	332349061451743234
Melaywiz	Tude	332349061451743234
Bbaysum	Tude	332349061451743234
Darntrans	Tude	332349061451743234
Riig	Riig	489578051663953920
Rizzenforcer	Sneekerpimp	411992602536312832
Drorn	Drorn	301153581283672064
Marrof	Marrof	266389632260898816
Ixa	Ixa	592696396050595840
Lintsnatcher	Holdmybow	447229053490036746
Dirkli	Dirk	251583685252349954
Aginor	Blood	298329767654981632
Mirasolo	Sanierily	483702502215122965
Barktwain	Sanierily	483702502215122965
Evolrider	Evolrider	253619113396666369
Miabet	Miabet	283394204502196226
Sorona	Sorona	1509849781609037956
Grazedme	Grazedme	455170863747301376
Darthkagnomi	Grazedme	455170863747301376
