Level	Category	Class(es)	Requires	Item	Qty
5	Blacksmithing	Rogue, Warrior, Paladin		Coarse Sharpening Stone	20
5	Blacksmithing	Warrior, Paladin, Druid		Coarse Weightstone	20
5	Blacksmithing	Paladin, Warrior		Light Mail Bracers	1
6	Blacksmithing	None		Copper Chain Belt	1
6	Blacksmithing	Paladin, Warrior	Pro	Copper Claymore	1
6	Blacksmithing	Rogue	Pro	Copper Dagger	1
7	Blacksmithing	Warrior, Paladin		Runed Copper Gauntlets	1
11	Blacksmithing	Paladin, Warrior		Heavy Copper Maul	1
13	Blacksmithing	None		Rough Bronze Boots	1
13	Blacksmithing	None		Runed Copper Belt	1
14	Blacksmithing	Warrior, Paladin		Runed Copper Bracers	1
15	Blacksmithing	Rogue, Warrior, Paladin		Heavy Sharpening Stone	20
15	Blacksmithing	None		Heavy Weightstone	20
16	Blacksmithing	Paladin, Warrior		Rough Bronze Leggings	1
17	Blacksmithing	Paladin, Warrior		Rough Bronze Shoulders	1
18	Blacksmithing	Warrior, Paladin		Rough Bronze Cuirass	1
20	Blacksmithing	Warrior, Paladin		Silvered Bronze Shoulders	1
21	Blacksmithing	Warrior, Paladin		Silvered Bronze Boots	1
24	Blacksmithing	Warrior, Paladin	Pro	Shining Silver Breastplate	1
25	Blacksmithing	Rogue, Warrior, Paladin		Solid Sharpening Stone	20
25	Blacksmithing	None		Solid Weightstone	20
29	Blacksmithing	Druid		Golden Iron Destroyer	1
29	Blacksmithing	Warrior, Paladin		Green Iron Helm	1
30	Blacksmithing	Rogue		Jade Serpentblade	1
35	Blacksmithing	Rogue, Warrior, Paladin		Dense Sharpening Stone	20
40	Blacksmithing	Paladin, Warrior		Ornate Mithril Gloves	1
42	Blacksmithing	All		Patterned Bronze Bracers	1
43	Blacksmithing	Rogue	Pro	Dazzling Mithril Rapier	1
54	Blacksmithing	None		Golden Rod	1
1	Cooking	All		Level 1 Food (+2)	20
5	Cooking	Warlock, Priest, Mage, Druid, Paladin		Cooked Crab Claw	20
5	Cooking	All		Level 5 Food (+4)	20
10	Cooking	Warlock	Pro	Level 10 Food (+6)	5
12	Cooking	None		Gingerbread Cookie	5
12	Cooking	None		Ice Cold Milk	1
15	Cooking	All		Level 15 Food (+6)	20
20	Cooking	All	Pro	Level 20 Food (+8)	20
25	Cooking	All		Level 25 Food (+8)	20
35	Cooking	All	Pro	Level 35 Food (+12)	20
40	Cooking	All		Level 40 Food (+12)	20
48	Cooking	All		Barbecued Buzzard Wing	10
36	Dhstorage	All		Green Hills pages	15
34	Dhstorage	Warrior		Whirlwind Weapon mats	15
5	Enchanting	Priest, Warlock, Mage		Lesser Magic Wand	1
8	Enchanting	Warlock, Priest, Mage, Paladin		Minor Wizard Oil	6
13	Enchanting	Priest, Warlock, Mage		Greater Magic Wand	1
15	Enchanting	All	Pro	Knitted Sandals	1
20	Enchanting	Priest, Warlock		Minor Mana Oil	1
26	Enchanting	Mage, Priest, Warlock		Lesser Mystic Wand	1
30	Enchanting	Mage, Priest, Warlock		Greater Mystic Wand	1
30	Enchanting	Warlock, Priest, Mage		Lesser Wizard Oil	1
40	Enchanting	Priest, Warlock		Lesser Mana Oil	1
40	Enchanting	Warlock, Priest, Mage		Wizard Oil	1
5	Engineering	Hunter		Crude Scope	3
5	Engineering	Hunter		Rough Boomstick	1
10	Engineering	Hunter		Standard Scope	3
16	Engineering	Hunter		Deadly Blunderbuss	1
19	Engineering	Hunter		Lovingly Crafted Boomstick	1
20	Engineering	Hunter		Accurate Scope	3
20	Engineering	All		Bronze Tube	1
21	Engineering	Hunter		Silver-plated Shotgun	1
24	Engineering	Hunter		Moonsight Rifle	1
30	Engineering	Hunter		Deadly Scope	3
36	Engineering	None		Mithril Blunderbuss	1
36	Engineering	Hunter, Rogue	Pro	Mithril Blunderbuss	1
39	Engineering	Hunter		Mithril Heavy-bore Rifle	1
42	Engineering	All		Gyrochronatom	1
48	Engineering	All		Mithril Casing	1
54	Engineering	None		Hi-Explosive Bomb	8
54	Engineering	None		Unstable Trigger	8
5	First Aid	None		Heavy Wool Bandage	20
5	First Aid	All		Linen (First Aid)	200
10	First Aid	All		Silk Bandage	20
10	First Aid	All		Wool	20
18	First Aid	Rogue, Warrior		Anti-Venom	20
20	First Aid	All		Heavy Silk Bandage	20
20	First Aid	All		Wool (Again)	20
20	First Aid	All	Pro	Strong Anti-Venom	20
25	First Aid	All	Pro	Mageweave Bandage	20
30	First Aid	None	Pro	Heavy Mageweave Bandage	20
30	First Aid	All	Pro	Expert First Aid - Under Wraps	1
30	First Aid	All	Pro	Manual: Heavy Silk Bandage	1
30	First Aid	All	Pro	Manual: Mageweave Bandage	1
1	Leatherworking	All		Light Armor Kit	10
1	Leatherworking	Hunter		Light Leather Quiver	1
1	Leatherworking	Hunter		Small Leather Ammo Pouch	1
3	Leatherworking	None		Handstitched Leather Boots	1
3	Leatherworking	Rogue, Hunter, Druid		Handstitched Leather Vest	1
4	Leatherworking	Rogue, Hunter, Druid		Handstitched Leather Bracers	1
5	Leatherworking	None		Handstitched Leather Belt	1
5	Leatherworking	None		Handstitched Leather Pants	1
5	Leatherworking	All		Medium Armor Kit	10
6	Leatherworking	None		Rugged Leather Pants	1
8	Leatherworking	Rogue, Hunter, Druid		Embossed Leather Gloves	1
8	Leatherworking	Rogue, Hunter, Druid		White Leather Jerkin	1
9	Leatherworking	Rogue, Hunter, Druid		Light Leather Bracers	1
10	Leatherworking	All		Fine Leather Cloak	1
13	Leatherworking	None		Fine Leather Boots	1
14	Leatherworking	Rogue, Hunter, Druid		Light Leather Pants	1
15	Leatherworking	None		Black Whelp Cloak	1
15	Leatherworking	Druid		Black Whelp Tunic	1
15	Leatherworking	Hunter, Rogue		Dark Leather Tunic	1
18	Leatherworking	Rogue, Hunter, Druid		Dark Leather Pants	1
19	Leatherworking	Rogue, Druid		Red Whelp Gloves	1
20	Leatherworking	Rogue, Hunter, Druid		Dark Leather Belt	1
20	Leatherworking	All		Heavy Armor Kit	10
21	Leatherworking	Druid, Hunter, Rogue		Hillman's Shoulders	1
22	Leatherworking	Hunter, Rogue, Druid	Pro	Toughened Leather Gloves	1
27	Leatherworking	Hunter, Rogue, Druid	Pro	Barbaric Bracers	1
29	Leatherworking	All		Hillman's Cloak	1
30	Leatherworking	Rogue, Hunter, Druid		Barbaric Shoulders	1
30	Leatherworking	Rogue, Hunter, Druid		Dusky Leather Armor	1
30	Leatherworking	Hunter		Heavy Leather Ammo Pouch	1
30	Leatherworking	Hunter		Heavy Quiver	1
30	Leatherworking	All		Thick Armor Kit	10
32	Leatherworking	Rogue, Hunter, Druid		Dusky Bracers	1
36	Leatherworking	Rogue, Druid, Hunter		Nightscape Headband	1
38	Leatherworking	Druid		Big Voodoo Robe	1
39	Leatherworking	Druid		Big Voodoo Mask	1
40	Leatherworking	Hunter		Quickdraw Quiver	1
40	Leatherworking	All		Rugged Armor Kit	10
40	Leatherworking	Hunter		Thick Leather Ammo Pouch	1
40	Leatherworking	Hunter		Tough Scorpid Bracers	1
40	Leatherworking	Hunter		Tough Scorpid Breastplate	1
40	Leatherworking	Hunter		Tough Scorpid Gloves	1
40	Leatherworking	Druid	Pro	Wolfshead Helm	1
41	Leatherworking	Rogue		Nightscape Pants	1
42	Leatherworking	Rogue, Druid		Nightscape Boots	1
42	Leatherworking	Hunter		Tough Scorpid Boots	1
43	Leatherworking	Hunter		Tough Scorpid Shoulders	1
44	Leatherworking	Hunter		Tough Scorpid Leggings	1
45	Leatherworking	Hunter		Tough Scorpid Helm	1
47	Leatherworking	Rogue, Hunter, Druid		Wicked Leather Gauntlets	1
48	Leatherworking	Rogue, Druid		Wicked Leather Bracers	1
50	Leatherworking	All		Rugged Armor Kit	10
53	Leatherworking	None		Devilsaur Gauntlets	1
53	Leatherworking	Rogue, Hunter, Warrior, Druid	Pro	Devilsaur Gauntlets	1
55	Leatherworking	None		Devilsaur Leggings	1
55	Leatherworking	Rogue, Hunter, Warrior, Druid	Pro	Devilsaur Leggings	1
40	Pro	Druid, Rogue, Hunter, Warrior, Priest, Mage	Pro	Mount Funding	1
43	Pro	Druid, Rogue, Hunter, Warrior, Priest, Mage	Pro	Mount Funding Confirmation	1
5	Quest	All		Chunk of Boar Meat	8
5	Quest	All		Crag Boar Rib	6
7	Quest	All		Bear Meat	3
7	Quest	All		Boar Intestines	3
7	Quest	All		Spider Ichor	3
9	Quest	All		Goretusk Snout	3
9	Quest	All		Murloc Eye	3
9	Quest	All		Okra	3
9	Quest	All		Stringy Vulture Meat	3
9.1	Quest	All		Goretusk Livers	8
10	Quest	All		Darkshore Grouper	6
10	Quest	All		Flask of Oil	5
10	Quest	All		Guild Tabard	1
10	Quest	None		Wool (First Aid)	200
12	Quest	Mage		Light Feather	20
12	Quest	Hunter		Chunk of Boar Meat	80
14	Quest	All		Hops	5
15	Quest	All		Crisp Spider Meat	5
15	Quest	All		Great Goretusk Snout	5
15	Quest	All		Tough Condor Meat	5
17	Quest	All		Gooey Spider Leg	6
20	Quest	Rogue		Chunk of Boar Meat	80
20	Quest	None		Expert First Aid Book	1
20	Quest	None		Manual: Heavy Silk Bandage	1
20	Quest	None		Manual: Mageweave Bandage	1
20	Quest	All		Murloc Fin	8
20	Quest	All	Pro	Rethban Ore	5
20	Quest	None		Silk (First Aid)	170
20	Quest	None	Pro	Incendicite Ore	6
28	Quest	All		Turtle Meat	10
30	Quest	None		Mageweave (First Aid)	150
32	Quest2	All		Lesser Bloodstone Ore	4
33	Quest2	All		Buzzard Wing	4
34	Quest2	Priest, Mage		Light Feather	20
40	Quest2	All		Gorilla Fang	10
40	Quest2	All		Troll Tribal Necklace	5
40	Quest2	All		Wastewander Water Pouch	5
43	Quest2	All		Silk Cloth	15
45	Quest2	None		basilisk brains	11
45	Quest2	None		blasted boar lungs	6
45	Quest2	None		Runecloth (First Aid)	100
45	Quest2	None		scorpok pincers	6
45	Quest2	None		snickerfang jowls	5
45	Quest2	None		Vulture Gizzards	14
47	Quest2	All	Pro	Morrowgrain	20
47	Quest2	All		Blue Power Crystal	7
47	Quest2	All		Green Power Crystal	7
47	Quest2	None		Morrowgrain	20
47	Quest2	All		Red Power Crystal	7
47	Quest2	All		Yellow Power Crystal	7
55	Quest2	None		Bone Fragments	30
55	Quest2	None		Core of Elements	30
55	Quest2	All		Dark Iron Scraps	30
55	Quest2	None		Savage Frond	30
1	Tailoring	All		8 slot bags	2
10	Tailoring	All		10 slot bags	3
1	Tailoring	None		Linen Cloak	1
2	Tailoring	None		Simple Linen Pants	1
5	Tailoring	None		Red Linen Robe	1
5	Tailoring	Mage, Priest, Warlock		Red/White Linen Robe	1
7	Tailoring	Mage, Priest, Warlock		Green Linen Bracers	1
7	Tailoring	Priest, Warlock		Red Linen Vest	1
7	Tailoring	All		Reinforced Linen Cape	1
9	Tailoring	Mage, Priest, Warlock		Handstitched Linen Britches	1
10	Tailoring	None		12 slot bag (lvl 10)	1
10	Tailoring	None		Simple Kilt	1
11	Tailoring	Mage, Warlock		Soft-soled Linen Boots	1
11	Tailoring	None		Woolen Cape	1
12	Tailoring	Mage, Priest, Warlock		Heavy Woolen Gloves	1
14	Tailoring	Mage, Priest, Warlock, Druid		Pearl-clasped Cloak	1
14	Tailoring	Priest		Woolen Boots	1
16	Tailoring	Mage, Warlock		Gray Woolen Robe	1
16	Tailoring	None		Heavy Woolen Cloak	1
17	Tailoring	Mage, Priest, Warlock		Double-stitched Woolen Shoulders	1
17	Tailoring	Mage, Priest, Warlock		Heavy Woolen Pants	1
18	Tailoring	Priest		Greater Adept's Robe	1
19	Tailoring	None		Reinforced Woolen Shoulders	1
20	Tailoring	All		12 slot bag (lvl 20)	2
20	Tailoring	None		Spidersilk Boots	1
20	Tailoring	Mage, Priest, Warlock	Pro	Spidersilk Boots	1
23	Tailoring	Mage		Azure Silk Pants	1
24	Tailoring	Mage		Azure Silk Gloves	1
24	Tailoring	Mage, Priest, Warlock		Azure Silk Hood	1
25	Tailoring	Mage		Azure Silk Vest	1
25	Tailoring	Mage, Priest, Warlock		Robes of Arcana	1
28	Tailoring	Mage, Priest, Warlock		Enchanter's Cowl	1
29	Tailoring	All		Bolt of Woolen Cloth	1
30	Tailoring	All		14 slot bag (lvl 30)	1
30	Tailoring	Hunter, Rogue, Warrior, Warlock, Priest, Paladin, Mage		Azure Silk Belt	1
30	Tailoring	Priest		Boots of the Enchanter	1
31	Tailoring	Mage, Priest, Warlock		Green Silken Shoulders	1
31	Tailoring	Warlock, Priest, Mage		Spider Belt	1
32	Tailoring	Mage, Priest, Warlock, Druid, Paladin		Long Silken Cloak	1
33	Tailoring	Mage		Azure Shoulders	1
36	Tailoring	Mage, Priest, Warlock		Black Mageweave Vest	1
37	Tailoring	Warlock, Priest		Shadoweave Pants	1
38	Tailoring	Priest, Mage, Warlock		Black Mageweave Gloves	1
40	Tailoring	All		14 slot bag (lvl 40)	1
40	Tailoring	Mage, Warlock, Priest	Pro	Dreamweave Gloves	1
42	Tailoring	Warlock, Priest		Shadoweave Shoulders	1
45	Tailoring	Mage, Warlock, Priest	Pro	Dreamweave Circlet	1
48	Tailoring	Mage, Priest, Warlock, Druid, Paladin		Runecloth Cloak	1
50	Tailoring	None		16 slot bag	1
50	Tailoring	All		14 slot bag (lvl 50)	1
50	Tailoring	All	Pro	16 slot bag (lvl 50)	1
58	Tailoring	None	Pro	Mageweave Cloth	240
58	Tailoring	None	Pro	Runecloth	240
58	Tailoring	None	Pro	Silk Cloth	240
58	Tailoring	None	Pro	Wool Cloth	240
60	Tailoring	All		16 slot bag (lvl 60)	1
